Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
10,1,1,0,68,79
10,2,1,284,69,78
10,1,0,327,68,79
10,3,1,573,67,79
10,2,0,595,69,78
10,4,1,868,66,76
10,3,0,868,67,79
10,5,1,1170,71,72
10,4,0,1203,66,76
10,5,0,1398,71,72
10,6,1,1447,66,67
10,6,0,1534,66,67
10,7,1,1746,68,67
10,7,0,1795,68,67
10,8,1,2041,67,67
10,8,0,2095,67,67
10,9,1,2342,67,79
10,10,1,2624,70,78
10,9,0,2659,67,79
10,10,0,2913,70,78
10,11,1,2920,66,79
10,12,1,3216,64,76
10,11,0,3228,66,79
10,12,0,3476,64,76
10,13,1,3494,67,72
10,14,1,3778,71,76
10,13,0,3841,67,72
10,15,1,4060,72,79
10,14,0,4065,71,76
10,16,1,4343,79,84
10,15,0,4354,72,79
10,17,1,4641,74,83
10,16,0,4699,79,84
10,18,1,4923,73,81
10,17,0,4929,74,83
10,18,0,4996,73,81
10,19,1,5215,74,81
10,19,0,5268,74,81
10,20,1,5492,77,81
10,20,0,5576,77,81
10,21,1,5784,70,83
10,22,1,6073,68,81
10,21,0,6123,70,83
10,23,1,6347,70,84
10,22,0,6373,68,81
10,24,1,6653,56,81
10,23,0,6660,70,84
10,25,1,6940,68,78
10,24,0,6976,56,81
10,26,1,7217,66,79
10,25,0,7250,68,78
10,26,0,7386,66,79
10,27,1,7519,68,79
10,27,0,7934,68,79
10,28,1,8115,69,79
10,28,0,8762,69,79
10,29,1,9322,66,77
10,29,0,9378,66,77
10,30,1,9611,69,77
10,30,0,9665,69,77
10,31,1,9892,68,76
10,31,0,9948,68,76
10,32,1,10173,69,76
10,32,0,10229,69,76
10,33,1,10482,72,74
10,33,0,11088,72,74
10,34,1,11614,75,79
10,34,0,12164,75,79
10,35,1,12214,70,77
10,35,0,12710,70,77
10,36,1,12792,71,76
10,36,0,12857,71,76
10,37,1,13092,74,76
10,37,0,13151,74,76
10,38,1,13375,71,76
10,38,0,13441,71,76
10,39,1,13657,67,76
10,39,0,13755,67,76
10,40,1,13952,74,81
10,41,1,14244,70,77
10,40,0,14311,74,81
10,42,1,14534,65,76
10,41,0,14574,70,77
10,42,0,14822,65,76
10,43,1,14825,73,74
10,44,1,15112,67,76
10,43,0,15138,73,74
10,45,1,15396,72,79
10,44,0,15416,67,76
10,46,1,15676,71,74
10,45,0,15718,72,79
10,47,1,15960,69,71
10,46,0,15976,71,74
10,47,0,16231,69,71
10,48,1,16234,76,72
10,48,0,16290,76,72
10,49,1,16522,77,72
10,49,0,16575,77,72
10,50,1,16794,77,74
10,50,0,16838,77,74
10,51,1,17093,79,74
10,51,0,17135,79,74
10,52,1,17395,68,76
10,52,0,17994,68,76
10,53,1,18549,72,65
10,53,0,18620,72,65
10,54,1,18843,71,65
10,54,0,18918,71,65
10,55,1,19127,73,64
10,55,0,19177,73,64
10,56,1,19421,71,64
10,56,0,19480,71,64
10,57,1,19737,68,62
10,57,0,20355,68,62
10,58,1,20858,76,67
10,58,0,20915,76,67
10,59,1,21159,74,67
10,59,0,21241,74,67
10,60,1,21442,69,71
10,60,0,21510,69,71
10,61,1,21727,76,71
10,61,0,21806,76,71
10,62,1,21997,75,72
10,62,0,22095,75,72
10,63,1,22282,78,72
10,63,0,22362,78,72
10,64,1,22557,79,73
10,64,0,22640,79,73
10,65,1,22848,78,73
10,65,0,22939,78,73
10,66,1,23154,79,74
10,66,0,23669,79,74
10,67,1,23743,75,77
10,67,0,24303,75,77
10,68,1,24344,75,76
10,68,0,24888,75,76
10,69,1,24940,75,74
10,69,0,25523,75,74
10,70,1,25541,78,72
10,70,0,26108,78,72
10,71,1,26168,75,84
10,71,0,26573,75,84
10,72,1,26822,79,84
10,72,0,27501,79,84
