RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,17,7808,79,49,1,2,12,13,11.mid,experiment,1
2,18,8074,78,76,1,2,12,13,11.mid,experiment,1
3,20,8329,79,82,1,2,12,13,11.mid,experiment,1
4,22,8576,76,79,1,2,12,13,11.mid,experiment,1
5,24,8816,72,67,1,2,12,13,11.mid,experiment,1
6,27,9056,67,60,1,2,12,13,11.mid,experiment,1
7,29,9318,67,62,1,2,12,13,11.mid,experiment,1
8,31,9566,67,58,1,2,12,13,11.mid,experiment,1
9,33,9826,79,56,1,2,12,13,11.mid,experiment,1
10,34,10056,78,79,1,2,12,13,11.mid,experiment,1
11,36,10293,79,84,1,2,12,13,11.mid,experiment,1
12,38,10528,76,79,1,2,12,13,11.mid,experiment,1
13,40,10758,72,79,1,2,12,13,11.mid,experiment,1
14,42,11011,76,73,1,2,12,13,11.mid,experiment,1
15,46,11243,79,96,1,2,12,13,11.mid,experiment,1
16,48,11488,84,93,1,2,12,13,11.mid,experiment,1
17,50,11714,83,88,1,2,12,13,11.mid,experiment,1
18,52,11985,81,66,1,2,12,13,11.mid,experiment,1
19,55,12225,81,70,1,2,12,13,11.mid,experiment,1
20,57,12469,81,71,1,2,12,13,11.mid,experiment,1
21,59,12715,83,80,1,2,12,13,11.mid,experiment,1
22,60,12950,81,91,1,2,12,13,11.mid,experiment,1
23,62,13187,84,94,1,2,12,13,11.mid,experiment,1
24,64,13421,81,87,1,2,12,13,11.mid,experiment,1
25,66,13659,78,79,1,2,12,13,11.mid,experiment,1
26,68,13885,79,89,1,2,12,13,11.mid,experiment,1
27,71,14163,79,85,1,2,12,13,11.mid,experiment,1
28,73,14690,79,81,1,2,12,13,11.mid,experiment,1
29,75,15693,77,59,1,2,12,13,11.mid,experiment,1
30,77,15939,77,63,1,2,12,13,11.mid,experiment,1
31,79,16167,76,58,1,2,12,13,11.mid,experiment,1
32,81,16402,76,50,1,2,12,13,11.mid,experiment,1
33,83,16689,74,49,1,2,12,13,11.mid,experiment,1
34,85,17704,79,58,1,2,12,13,11.mid,experiment,1
35,87,18219,77,66,1,2,12,13,11.mid,experiment,1
36,89,18719,76,66,1,2,12,13,11.mid,experiment,1
37,91,18961,76,58,1,2,12,13,11.mid,experiment,1
38,93,19198,76,63,1,2,12,13,11.mid,experiment,1
39,95,19436,76,68,1,2,12,13,11.mid,experiment,1
40,97,19681,81,70,1,2,12,13,11.mid,experiment,1
41,98,19925,77,75,1,2,12,13,11.mid,experiment,1
42,100,20163,76,74,1,2,12,13,11.mid,experiment,1
43,102,20397,74,86,1,2,12,13,11.mid,experiment,1
44,104,20647,76,84,1,2,12,13,11.mid,experiment,1
45,106,20881,79,93,1,2,12,13,11.mid,experiment,1
46,108,21118,74,87,1,2,12,13,11.mid,experiment,1
47,110,21343,71,79,1,2,12,13,11.mid,experiment,1
48,113,21582,72,68,1,2,12,13,11.mid,experiment,1
49,115,21818,72,63,1,2,12,13,11.mid,experiment,1
50,117,22067,74,56,1,2,12,13,11.mid,experiment,1
51,119,22306,74,55,1,2,12,13,11.mid,experiment,1
52,121,22604,76,43,1,2,12,13,11.mid,experiment,1
53,123,23592,65,57,1,2,12,13,11.mid,experiment,1
54,125,23843,65,62,1,2,12,13,11.mid,experiment,1
55,127,24094,64,51,1,2,12,13,11.mid,experiment,1
56,129,24353,64,48,1,2,12,13,11.mid,experiment,1
57,131,24667,62,42,1,2,12,13,11.mid,experiment,1
58,133,25649,67,56,1,2,12,13,11.mid,experiment,1
59,135,25895,67,64,1,2,12,13,11.mid,experiment,1
60,137,26122,71,76,1,2,12,13,11.mid,experiment,1
61,139,26362,71,80,1,2,12,13,11.mid,experiment,1
62,141,26602,72,85,1,2,12,13,11.mid,experiment,1
63,143,26846,72,90,1,2,12,13,11.mid,experiment,1
64,145,,73,,1,2,12,13,11.mid,experiment,1
65,147,27311,73,91,1,2,12,13,11.mid,experiment,1
66,149,27604,74,88,1,2,12,13,11.mid,experiment,1
67,151,28149,77,97,1,2,12,13,11.mid,experiment,1
68,153,28688,76,86,1,2,12,13,11.mid,experiment,1
69,155,29207,74,86,1,2,12,13,11.mid,experiment,1
70,157,29727,72,81,1,2,12,13,11.mid,experiment,1
71,159,30263,84,88,1,2,12,13,11.mid,experiment,1
72,161,30823,84,91,1,2,12,13,11.mid,experiment,1
1,17,7827,79,77,1,2,10,10,6.mid,experiment,1
2,18,8127,78,89,1,2,10,10,6.mid,experiment,1
3,20,8405,79,95,1,2,10,10,6.mid,experiment,1
4,22,8675,76,90,1,2,10,10,6.mid,experiment,1
5,24,8961,72,90,1,2,10,10,6.mid,experiment,1
6,27,9255,67,51,1,2,10,10,6.mid,experiment,1
7,29,9520,67,57,1,2,10,10,6.mid,experiment,1
8,31,9787,67,74,1,2,10,10,6.mid,experiment,1
9,33,10071,79,81,1,2,10,10,6.mid,experiment,1
10,34,10335,78,89,1,2,10,10,6.mid,experiment,1
11,36,10605,79,91,1,2,10,10,6.mid,experiment,1
12,38,10879,76,91,1,2,10,10,6.mid,experiment,1
13,40,11163,72,96,1,2,10,10,6.mid,experiment,1
14,42,11432,76,93,1,2,10,10,6.mid,experiment,1
15,44,11705,79,93,1,2,10,10,6.mid,experiment,1
16,46,11981,84,95,1,2,10,10,6.mid,experiment,1
17,48,12245,83,87,1,2,10,10,6.mid,experiment,1
18,51,12763,81,63,1,2,10,10,6.mid,experiment,1
19,53,13039,81,66,1,2,10,10,6.mid,experiment,1
20,53,,81,,1,2,10,10,6.mid,experiment,1
21,55,13317,83,85,1,2,10,10,6.mid,experiment,1
22,56,13597,81,96,1,2,10,10,6.mid,experiment,1
23,58,13859,84,99,1,2,10,10,6.mid,experiment,1
24,60,14115,81,91,1,2,10,10,6.mid,experiment,1
25,62,14390,78,98,1,2,10,10,6.mid,experiment,1
26,64,14677,79,73,1,2,10,10,6.mid,experiment,1
27,67,14970,79,70,1,2,10,10,6.mid,experiment,1
28,69,15520,79,89,1,2,10,10,6.mid,experiment,1
29,71,16781,77,45,1,2,10,10,6.mid,experiment,1
30,73,17057,77,57,1,2,10,10,6.mid,experiment,1
31,75,17323,76,55,1,2,10,10,6.mid,experiment,1
32,77,17605,76,43,1,2,10,10,6.mid,experiment,1
33,79,17895,74,53,1,2,10,10,6.mid,experiment,1
34,81,19015,79,62,1,2,10,10,6.mid,experiment,1
35,83,19581,77,67,1,2,10,10,6.mid,experiment,1
36,85,20175,76,57,1,2,10,10,6.mid,experiment,1
37,87,20477,76,44,1,2,10,10,6.mid,experiment,1
38,89,20725,76,58,1,2,10,10,6.mid,experiment,1
