Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
7,1,1,0,63,79
7,2,1,273,73,78
7,1,0,314,63,79
7,2,0,543,73,78
7,3,1,561,72,79
7,4,1,831,72,76
7,3,0,848,72,79
7,5,1,1101,82,72
7,4,0,1116,72,76
7,5,0,1249,82,72
7,6,1,1374,74,67
7,6,0,1435,74,67
7,7,1,1659,75,67
7,7,0,1722,75,67
7,8,1,1926,75,67
7,8,0,1984,75,67
7,9,1,2213,75,79
7,10,1,2487,76,78
7,9,0,2498,75,79
7,10,0,2768,76,78
7,11,1,2769,77,79
7,12,1,3043,69,76
7,11,0,3065,77,79
7,13,1,3318,75,72
7,12,0,3318,69,76
7,14,1,3585,71,76
7,13,0,3619,75,72
7,15,1,3845,79,79
7,14,0,3885,71,76
7,16,1,4118,77,84
7,15,0,4119,79,79
7,17,1,4394,79,83
7,16,0,4426,77,84
7,17,0,4536,79,83
7,18,1,4663,71,81
7,18,0,4723,71,81
7,19,1,4929,77,81
7,19,0,4983,77,81
7,20,1,5202,82,81
7,20,0,5266,82,81
7,21,1,5480,79,83
7,22,1,5747,78,81
7,21,0,5776,79,83
7,23,1,6009,76,84
7,22,0,6040,78,81
7,24,1,6277,79,81
7,23,0,6301,76,84
7,25,1,6557,76,78
7,24,0,6587,79,81
7,25,0,6810,76,78
7,26,1,6826,76,79
7,26,0,6923,76,79
7,27,1,7123,73,79
7,27,0,7437,73,79
7,28,1,7685,66,79
7,28,0,8208,66,79
7,29,1,8851,70,77
7,29,0,8928,70,77
7,30,1,9130,70,77
7,30,0,9214,70,77
7,31,1,9385,75,76
7,31,0,9471,75,76
7,32,1,9652,77,76
7,32,0,9742,77,76
7,33,1,9951,74,74
7,33,0,10527,74,74
7,34,1,11063,76,79
7,34,0,11507,76,79
7,35,1,11625,74,77
7,35,0,12041,74,77
7,36,1,12191,73,76
7,36,0,12271,73,76
7,37,1,12465,74,76
7,37,0,12537,74,76
7,38,1,12733,73,76
7,38,0,12807,73,76
7,39,1,12998,71,76
7,39,0,13083,71,76
7,40,1,13280,77,81
7,41,1,13545,73,77
7,40,0,13617,77,81
7,42,1,13819,71,76
7,41,0,13874,73,77
7,43,1,14082,79,74
7,42,0,14115,71,76
7,44,1,14353,73,76
7,43,0,14401,79,74
7,45,1,14612,78,79
7,44,0,14657,73,76
7,46,1,14878,74,74
7,45,0,14984,78,79
7,47,1,15154,72,71
7,46,0,15169,74,74
7,47,0,15343,72,71
7,48,1,15411,82,72
7,48,0,15498,82,72
7,49,1,15684,79,72
7,49,0,15762,79,72
7,50,1,15951,82,74
7,50,0,16024,82,74
7,51,1,16222,77,74
7,51,0,16311,77,74
7,52,1,16522,68,76
7,52,0,17100,68,76
7,53,1,17690,82,65
7,53,0,17762,82,65
7,54,1,17971,78,65
7,54,0,18052,78,65
7,55,1,18242,77,64
7,55,0,18314,77,64
7,56,1,18510,72,64
7,56,0,18597,72,64
7,57,1,18810,71,62
7,57,0,19357,71,62
7,58,1,19907,76,67
7,58,0,19970,76,67
7,59,1,20188,77,67
7,59,0,20251,77,67
7,60,1,20450,79,71
7,60,0,20496,79,71
7,61,1,20714,87,71
7,61,0,20762,87,71
7,62,1,20975,84,72
7,62,0,21026,84,72
7,63,1,21248,86,72
7,63,0,21320,86,72
7,64,1,21501,86,73
7,64,0,21569,86,73
7,65,1,21767,83,73
7,65,0,21872,83,73
7,66,1,22053,87,74
7,66,0,22497,87,74
7,67,1,22629,82,77
7,67,0,23083,82,77
7,68,1,23197,78,76
7,68,0,23645,78,76
7,69,1,23764,81,74
7,69,0,24168,81,74
7,70,1,24358,78,72
7,70,0,24760,78,72
7,71,1,24957,78,84
7,71,0,25347,78,84
7,72,1,25580,79,84
7,72,0,26129,79,84
