Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
4,1,1,0,64,79
4,1,0,292,64,79
4,2,1,297,67,78
4,2,0,583,67,78
4,3,1,602,68,79
4,3,0,883,68,79
4,4,1,904,65,76
4,5,1,1198,73,72
4,4,0,1252,65,76
4,5,0,1437,73,72
4,6,1,1489,70,67
4,6,0,1558,70,67
4,7,1,1800,69,67
4,7,0,1856,69,67
4,8,1,2103,68,67
4,8,0,2165,68,67
4,9,1,2411,67,79
4,10,1,2705,68,78
4,9,0,2712,67,79
4,11,1,3006,67,79
4,10,0,3008,68,78
4,12,1,3303,65,76
4,11,0,3314,67,79
4,13,1,3584,72,72
4,12,0,3605,65,76
4,14,1,3875,72,76
4,13,0,3894,72,72
4,15,1,4166,73,79
4,14,0,4208,72,76
4,16,1,4466,76,84
4,15,0,4478,73,79
4,17,1,4769,73,83
4,16,0,4793,76,84
4,17,0,5002,73,83
4,18,1,5052,73,81
4,18,0,5115,73,81
4,19,1,5348,75,81
4,19,0,5406,75,81
4,20,1,5642,66,81
4,20,0,5775,66,81
4,21,1,5931,71,83
4,22,1,6221,69,81
4,21,0,6253,71,83
4,22,0,6497,69,81
4,23,1,6514,69,84
4,24,1,6801,71,81
4,23,0,6818,69,84
4,25,1,7088,67,78
4,24,0,7117,71,81
4,26,1,7360,73,79
4,25,0,7398,67,78
4,26,0,7451,73,79
4,27,1,7673,73,79
4,27,0,7992,73,79
4,28,1,8259,69,79
4,28,0,8841,69,79
4,29,1,9400,74,77
4,29,0,9458,74,77
4,30,1,9709,72,77
4,30,0,9762,72,77
4,31,1,9977,72,76
4,31,0,10039,72,76
4,32,1,10284,70,76
4,32,0,10371,70,76
4,33,1,10594,69,74
4,33,0,11217,69,74
4,34,1,11793,72,79
4,34,0,12247,72,79
4,35,1,12391,68,77
4,35,0,12805,68,77
4,36,1,12981,68,76
4,36,0,13074,68,76
4,37,1,13284,72,76
4,37,0,13356,72,76
4,38,1,13562,70,76
4,38,0,13636,70,76
4,39,1,13845,65,76
4,39,0,13926,65,76
4,40,1,14152,66,81
4,41,1,14456,65,77
4,40,0,14488,66,81
4,42,1,14740,65,76
4,41,0,14778,65,77
4,43,1,15036,68,74
4,42,0,15045,65,76
4,44,1,15337,66,76
4,43,0,15352,68,74
4,45,1,15624,71,79
4,44,0,15655,66,76
4,46,1,15917,69,74
4,45,0,16038,71,79
4,46,0,16207,69,74
4,47,1,16223,64,71
4,48,1,16506,70,72
4,47,0,16508,64,71
4,48,0,16558,70,72
4,49,1,16789,74,72
4,49,0,16855,74,72
4,50,1,17082,71,74
4,50,0,17131,71,74
4,51,1,17376,76,74
4,51,0,17434,76,74
4,52,1,17693,71,76
4,52,0,18285,71,76
4,53,1,18850,65,65
4,53,0,18902,65,65
4,54,1,19140,69,65
4,54,0,19196,69,65
4,55,1,19438,70,64
4,55,0,19486,70,64
4,56,1,19738,65,64
4,56,0,19797,65,64
4,57,1,20043,70,62
4,57,0,20681,70,62
4,58,1,21205,61,67
4,58,0,21254,61,67
4,59,1,21506,74,67
4,59,0,21585,74,67
4,60,1,21796,67,71
4,60,0,21848,67,71
4,61,1,22081,69,71
4,61,0,22154,69,71
4,62,1,22362,78,72
4,62,0,22420,78,72
4,63,1,22646,79,72
4,63,0,22725,79,72
4,64,1,22926,77,73
4,64,0,23015,77,73
4,65,1,23214,76,73
4,65,0,23310,76,73
4,66,1,23524,78,74
4,66,0,23905,78,74
4,67,1,24142,73,77
4,67,0,24532,73,77
4,68,1,24752,68,76
4,68,0,25114,68,76
4,69,1,25373,72,74
4,69,0,25747,72,74
4,70,1,26011,74,72
4,70,0,26357,74,72
4,71,1,26667,71,84
4,71,0,26991,71,84
4,72,1,27335,71,84
4,72,0,27790,71,84
