Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
7,1,1,0,78,79
7,1,0,142,78,79
7,2,1,304,75,78
7,2,0,372,75,78
7,3,1,613,72,79
7,3,0,735,72,79
7,4,1,912,69,76
7,4,0,982,69,76
7,5,1,1214,68,72
7,5,0,1386,68,72
7,6,1,1504,57,67
7,6,0,1589,57,67
7,7,1,1798,56,67
7,7,0,1871,56,67
7,8,1,2089,59,67
7,8,0,2174,59,67
7,9,1,2400,72,79
7,9,0,2530,72,79
7,10,1,2691,74,78
7,10,0,2816,74,78
7,11,1,2982,72,79
7,11,0,3109,72,79
7,12,1,3273,70,76
7,12,0,3338,70,76
7,13,1,3580,72,72
7,13,0,3766,72,72
7,14,1,3872,76,76
7,14,0,3966,76,76
7,15,1,4159,76,79
7,15,0,4248,76,79
7,16,1,4457,79,84
7,16,0,4583,79,84
7,17,1,4766,76,83
7,17,0,4989,76,83
7,18,1,5056,61,81
7,18,0,5106,61,81
7,19,1,5340,49,81
7,19,0,5388,49,81
7,20,1,5621,58,81
7,20,0,5692,58,81
7,21,1,5932,70,83
7,21,0,6068,70,83
7,22,1,6212,73,81
7,22,0,6270,73,81
7,23,1,6515,73,84
7,23,0,6652,73,84
7,24,1,6804,74,81
7,24,0,6882,74,81
7,25,1,7111,72,78
7,26,1,7403,73,79
7,25,0,7421,72,78
7,26,0,7464,73,79
7,27,1,7741,70,79
7,27,0,7874,70,79
7,28,1,8390,63,79
7,28,0,8522,63,79
7,29,1,9678,54,77
7,29,0,9772,54,77
7,30,1,9978,56,77
7,30,0,10052,56,77
7,31,1,10266,55,76
7,31,0,10330,55,76
7,32,1,10555,50,76
7,32,0,10653,50,76
7,33,1,10896,52,74
7,33,0,11059,52,74
7,34,1,12087,58,79
7,34,0,12317,58,79
7,35,1,12696,60,77
7,35,0,12917,60,77
7,36,1,13275,58,76
7,36,0,13376,58,76
7,37,1,13568,58,76
7,37,0,13640,58,76
7,38,1,13851,60,76
7,38,0,13937,60,76
7,39,1,14150,61,76
7,39,0,14226,61,76
7,40,1,14459,73,81
7,40,0,14659,73,81
7,41,1,14738,71,77
7,41,0,14800,71,77
7,42,1,15034,73,76
7,42,0,15102,73,76
7,43,1,15315,75,74
7,43,0,15368,75,74
7,44,1,15599,70,76
7,44,0,15744,70,76
7,45,1,15882,75,79
7,45,0,15936,75,79
7,46,1,16175,75,74
7,46,0,16245,75,74
7,47,1,16470,61,71
7,47,0,16531,61,71
7,48,1,16751,66,72
7,48,0,16823,66,72
7,49,1,17050,57,72
7,49,0,17152,57,72
7,50,1,17330,60,74
7,50,0,17382,60,74
7,51,1,17630,61,74
7,51,0,17719,61,74
7,52,1,17949,48,76
7,52,0,18147,48,76
7,53,1,19248,56,65
7,53,0,19326,56,65
7,54,1,19539,58,65
7,54,0,19646,58,65
7,55,1,19847,52,64
7,55,0,19903,52,64
7,56,1,20128,53,64
7,56,0,20222,53,64
7,57,1,20488,47,62
7,57,0,20680,47,62
7,58,1,21659,57,67
7,58,0,21723,57,67
7,59,1,21955,59,67
7,59,0,22039,59,67
7,60,1,22260,55,71
7,60,0,22321,55,71
7,61,1,22560,60,71
7,61,0,22632,60,71
7,62,1,22854,63,72
7,62,0,22896,63,72
7,63,1,23146,66,72
7,63,0,23204,66,72
7,64,1,23440,70,73
7,64,0,23534,70,73
7,65,1,23721,66,73
7,65,0,23804,66,73
7,66,1,24028,79,74
7,66,0,24274,79,74
7,67,1,24661,79,77
7,67,0,24917,79,77
7,68,1,25274,73,76
7,68,0,25519,73,76
7,69,1,25900,74,74
7,69,0,26156,74,74
7,70,1,26543,79,72
7,70,0,26835,79,72
7,71,1,27225,78,84
7,71,0,27422,78,84
7,72,1,27887,66,84
7,72,0,28120,66,84
