Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
4,1,1,0,60,79
4,1,0,67,60,79
4,2,1,286,69,78
4,2,0,350,69,78
4,3,1,562,69,79
4,3,0,605,69,79
4,4,1,852,66,76
4,4,0,895,66,76
4,5,1,1129,74,72
4,5,0,1202,74,72
4,6,1,1416,71,67
4,6,0,1492,71,67
4,7,1,1706,67,67
4,7,0,1759,67,67
4,8,1,1997,64,67
4,8,0,2062,64,67
4,9,1,2281,70,79
4,9,0,2343,70,79
4,10,1,2564,69,78
4,10,0,2633,69,78
4,11,1,2848,72,79
4,11,0,2900,72,79
4,12,1,3123,67,76
4,12,0,3182,67,76
4,13,1,3405,72,72
4,13,0,3456,72,72
4,14,1,3687,73,76
4,14,0,3747,73,76
4,15,1,3956,74,79
4,15,0,3998,74,79
4,16,1,4244,71,84
4,16,0,4290,71,84
4,17,1,4525,72,83
4,17,0,4574,72,83
4,18,1,4805,71,81
4,18,0,4852,71,81
4,19,1,5081,77,81
4,19,0,5130,77,81
4,20,1,5351,78,81
4,20,0,5392,78,81
4,21,1,5637,78,83
4,21,0,5685,78,83
4,22,1,5918,76,81
4,22,0,5967,76,81
4,23,1,6194,71,84
4,23,0,6246,71,84
4,24,1,6468,74,81
4,24,0,6512,74,81
4,25,1,6743,71,78
4,25,0,6848,71,78
4,26,1,7013,70,79
4,26,0,7057,70,79
4,27,1,7317,72,79
4,27,0,7395,72,79
4,28,1,7886,65,79
4,28,0,8022,65,79
4,29,1,9026,69,77
4,29,0,9081,69,77
4,30,1,9309,73,77
4,30,0,9364,73,77
4,31,1,9571,75,76
4,31,0,9636,75,76
4,32,1,9845,77,76
4,32,0,9901,77,76
4,33,1,10161,72,74
4,33,0,10624,72,74
4,34,1,11280,76,79
4,34,0,11457,76,79
4,35,1,11858,74,77
4,35,0,12020,74,77
4,36,1,12433,70,76
4,36,0,12509,70,76
4,37,1,12712,68,76
4,37,0,12772,68,76
4,38,1,12981,68,76
4,38,0,13073,68,76
4,39,1,13257,67,76
4,39,0,13349,67,76
4,40,1,13542,66,81
4,40,0,13587,66,81
4,41,1,13824,68,77
4,41,0,13871,68,77
4,42,1,14096,71,76
4,42,0,14147,71,76
4,43,1,14374,72,74
4,43,0,14423,72,74
4,44,1,14644,72,76
4,44,0,14704,72,76
4,45,1,14914,73,79
4,45,0,14995,73,79
4,46,1,15188,74,74
4,46,0,15253,74,74
4,47,1,15472,69,71
4,47,0,15528,69,71
4,48,1,15730,76,72
4,48,0,15814,76,72
4,49,1,16005,76,72
4,49,0,16051,76,72
4,50,1,16271,74,74
4,50,0,16308,74,74
4,51,1,16550,73,74
4,51,0,16605,73,74
4,52,1,16862,59,76
4,52,0,17348,59,76
4,53,1,17964,71,65
4,53,0,18074,71,65
4,54,1,18251,72,65
4,54,0,18320,72,65
4,55,1,18530,68,64
4,55,0,18586,68,64
4,56,1,18788,70,64
4,56,0,18846,70,64
4,57,1,19109,68,62
4,57,0,19666,68,62
4,58,1,20205,70,67
4,58,0,20298,70,67
4,59,1,20489,74,67
4,59,0,20560,74,67
4,60,1,20759,72,71
4,60,0,20821,72,71
4,61,1,21028,80,71
4,61,0,21123,80,71
4,62,1,21294,78,72
4,62,0,21362,78,72
4,63,1,21571,83,72
4,63,0,21657,83,72
4,64,1,21831,77,73
4,64,0,21912,77,73
4,65,1,22111,84,73
4,65,0,22209,84,73
4,66,1,22408,77,74
4,66,0,22728,77,74
4,67,1,22985,74,77
4,67,0,23155,74,77
4,68,1,23576,67,76
4,68,0,23751,67,76
4,69,1,24173,74,74
4,69,0,24368,74,74
4,70,1,24775,72,72
4,70,0,25133,72,72
4,71,1,25396,72,84
4,71,0,25520,72,84
4,72,1,26007,69,84
4,72,0,26280,69,84
