Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
11,1,1,0,83,79
11,2,1,296,89,78
11,1,0,340,83,79
11,3,1,579,87,79
11,2,0,618,89,78
11,4,1,870,85,76
11,3,0,891,87,79
11,5,1,1161,74,72
11,4,0,1186,85,76
11,5,0,1412,74,72
11,6,1,1449,61,67
11,6,0,1518,61,67
11,7,1,1737,60,67
11,7,0,1801,60,67
11,8,1,2026,68,67
11,8,0,2094,68,67
11,9,1,2331,87,79
11,10,1,2618,83,78
11,9,0,2653,87,79
11,11,1,2895,90,79
11,10,0,2926,83,78
11,12,1,3180,86,76
11,11,0,3209,90,79
11,13,1,3472,84,72
11,12,0,3489,86,76
11,14,1,3753,86,76
11,13,0,3812,84,72
11,15,1,4033,91,79
11,14,0,4075,86,76
11,16,1,4311,90,84
11,15,0,4332,91,79
11,17,1,4614,81,83
11,16,0,4675,90,84
11,18,1,4907,60,81
11,17,0,4908,81,83
11,18,0,4969,60,81
11,19,1,5177,56,81
11,19,0,5236,56,81
11,20,1,5451,61,81
11,20,0,5608,61,81
11,21,1,5734,90,83
11,22,1,6025,86,81
11,21,0,6079,90,83
11,23,1,6306,93,84
11,22,0,6361,86,81
11,24,1,6582,86,81
11,23,0,6634,93,84
11,25,1,6869,84,78
11,24,0,6904,86,81
11,26,1,7156,80,79
11,25,0,7184,84,78
11,26,0,7289,80,79
11,27,1,7444,73,79
11,27,0,7873,73,79
11,28,1,8058,68,79
11,28,0,8627,68,79
11,29,1,9299,54,77
11,29,0,9370,54,77
11,30,1,9591,54,77
11,30,0,9659,54,77
11,31,1,9868,56,76
11,31,0,9936,56,76
11,32,1,10146,57,76
11,32,0,10239,57,76
11,33,1,10466,54,74
11,33,0,11083,54,74
11,34,1,11568,57,79
11,34,0,12088,57,79
11,35,1,12166,61,77
11,35,0,12663,61,77
11,36,1,12766,57,76
11,36,0,12858,57,76
11,37,1,13049,56,76
11,37,0,13129,56,76
11,38,1,13319,60,76
11,38,0,13401,60,76
11,39,1,13588,63,76
11,39,0,13696,63,76
11,40,1,13882,85,81
11,41,1,14160,82,77
11,40,0,14242,85,81
11,42,1,14446,88,76
11,41,0,14486,82,77
11,43,1,14724,87,74
11,42,0,14769,88,76
11,44,1,15009,90,76
11,43,0,15040,87,74
11,45,1,15286,92,79
11,44,0,15315,90,76
11,46,1,15564,91,74
11,45,0,15609,92,79
11,47,1,15850,82,71
11,46,0,15870,91,74
11,47,0,16127,82,71
11,48,1,16134,67,72
11,48,0,16189,67,72
11,49,1,16404,65,72
11,49,0,16469,65,72
11,50,1,16687,65,74
11,50,0,16738,65,74
11,51,1,16957,59,74
11,51,0,17032,59,74
11,52,1,17269,57,76
11,52,0,17855,57,76
11,53,1,18415,47,65
11,53,0,18489,47,65
11,54,1,18697,53,65
11,54,0,18783,53,65
11,55,1,18990,54,64
11,55,0,19058,54,64
11,56,1,19265,60,64
11,56,0,19343,60,64
11,57,1,19577,59,62
11,57,0,20177,59,62
11,58,1,20743,52,67
11,58,0,20809,52,67
11,59,1,21033,59,67
11,59,0,21106,59,67
11,60,1,21332,66,71
11,60,0,21402,66,71
11,61,1,21601,66,71
11,61,0,21687,66,71
11,62,1,21873,70,72
11,62,0,21949,70,72
11,63,1,22142,68,72
11,63,0,22242,68,72
11,64,1,22420,71,73
11,64,0,22526,71,73
11,65,1,22698,72,73
11,65,0,22808,72,73
11,66,1,23015,94,74
11,66,0,23588,94,74
11,67,1,23601,92,77
11,68,1,24191,89,76
11,67,0,24201,92,77
11,68,0,24763,89,76
11,69,1,24781,93,74
11,69,0,25346,93,74
11,70,1,25399,94,72
11,70,0,25907,94,72
11,71,1,26015,94,84
11,71,0,26390,94,84
11,72,1,26661,93,84
11,72,0,27241,93,84
