Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
14,1,1,0,82,79
14,2,1,292,85,78
14,1,0,306,82,79
14,3,1,572,87,79
14,2,0,577,85,78
14,4,1,858,86,76
14,3,0,864,87,79
14,5,1,1137,77,72
14,4,0,1173,86,76
14,6,1,1422,68,67
14,5,0,1444,77,72
14,6,0,1503,68,67
14,7,1,1718,60,67
14,7,0,1798,60,67
14,8,1,2009,68,67
14,8,0,2076,68,67
14,9,1,2301,81,79
14,10,1,2585,84,78
14,9,0,2597,81,79
14,11,1,2877,83,79
14,10,0,2881,84,78
14,12,1,3160,84,76
14,11,0,3183,83,79
14,12,0,3420,84,76
14,13,1,3447,81,72
14,14,1,3727,86,76
14,13,0,3751,81,72
14,15,1,4002,90,79
14,14,0,4054,86,76
14,16,1,4282,89,84
14,15,0,4289,90,79
14,17,1,4572,79,83
14,16,0,4649,89,84
14,17,0,4839,79,83
14,18,1,4848,68,81
14,18,0,4927,68,81
14,19,1,5136,65,81
14,19,0,5207,65,81
14,20,1,5412,71,81
14,20,0,5500,71,81
14,21,1,5702,86,83
14,22,1,5983,91,81
14,21,0,5991,86,83
14,23,1,6253,93,84
14,22,0,6272,91,81
14,24,1,6543,88,81
14,23,0,6566,93,84
14,25,1,6824,84,78
14,24,0,6856,88,81
14,25,0,7088,84,78
14,26,1,7095,83,79
14,26,0,7261,83,79
14,27,1,7401,69,79
14,27,0,7769,69,79
14,28,1,7966,69,79
14,28,0,8616,69,79
14,29,1,9121,55,77
14,29,0,9219,55,77
14,30,1,9411,60,77
14,30,0,9493,60,77
14,31,1,9675,58,76
14,31,0,9743,58,76
14,32,1,9951,52,76
14,32,0,10034,52,76
14,33,1,10266,56,74
14,33,0,10972,56,74
14,34,1,11381,51,79
14,34,0,11806,51,79
14,35,1,11959,58,77
14,35,0,12392,58,77
14,36,1,12539,51,76
14,36,0,12614,51,76
14,37,1,12818,53,76
14,37,0,12884,53,76
14,38,1,13095,56,76
14,38,0,13178,56,76
14,39,1,13376,60,76
14,39,0,13476,60,76
14,40,1,13653,78,81
14,41,1,13945,80,77
14,40,0,14009,78,81
14,42,1,14226,80,76
14,41,0,14264,80,77
14,43,1,14505,85,74
14,42,0,14510,80,76
14,44,1,14792,82,76
14,43,0,14801,85,74
14,45,1,15058,86,79
14,44,0,15092,82,76
14,46,1,15344,85,74
14,45,0,15371,86,79
14,47,1,15632,76,71
14,46,0,15643,85,74
14,47,0,15861,76,71
14,48,1,15895,67,72
14,48,0,15958,67,72
14,49,1,16181,67,72
14,49,0,16237,67,72
14,50,1,16451,63,74
14,50,0,16505,63,74
14,51,1,16731,63,74
14,51,0,16791,63,74
14,52,1,17052,51,76
14,52,0,17658,51,76
14,53,1,18218,55,65
14,53,0,18270,55,65
14,54,1,18505,56,65
14,54,0,18557,56,65
14,55,1,18777,59,64
14,55,0,18823,59,64
14,56,1,19052,55,64
14,56,0,19115,55,64
14,57,1,19360,54,62
14,57,0,19982,54,62
14,58,1,20443,52,67
14,58,0,20504,52,67
14,59,1,20726,64,67
14,59,0,20786,64,67
14,60,1,21005,70,71
14,60,0,21049,70,71
14,61,1,21273,70,71
14,61,0,21332,70,71
14,62,1,21539,77,72
14,62,0,21611,77,72
14,63,1,21820,76,72
14,63,0,21890,76,72
14,64,1,22091,80,73
14,64,0,22159,80,73
14,65,1,22377,83,73
14,65,0,22454,83,73
14,66,1,22675,89,74
14,66,0,23205,89,74
14,67,1,23250,86,77
14,67,0,23791,86,77
14,68,1,23837,86,76
14,68,0,24369,86,76
14,69,1,24431,86,74
14,69,0,24995,86,74
14,70,1,25014,87,72
14,70,0,25554,87,72
14,71,1,25615,91,84
14,71,0,26066,91,84
14,72,1,26241,87,84
14,72,0,27142,87,84
